material_name,page,zone_id,width_mm,height_mm,area_m2,bbox_area_m2,scale_mm_per_px,scale_source,area_px,width_px,height_px,bbox_px,material_line
Натуральный камень,1,p001-z0393,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2307.5,145,137,"[5091, 2442, 5236, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0394,46.0,43.8,0.0002,0.002,0.317134,dimension_line,2307.0,145,138,"[4625, 2444, 4770, 2582]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0395,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2296.0,145,137,"[4644, 2444, 4789, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0396,45.4,42.8,0.0002,0.0019,0.317134,dimension_line,2287.0,143,135,"[4666, 2444, 4809, 2579]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0397,37.7,37.7,0.0002,0.0014,0.317134,dimension_line,1936.5,119,119,"[4932, 2444, 5051, 2563]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0398,31.4,31.4,0.0002,0.001,0.317134,dimension_line,1614.5,99,99,"[4932, 2444, 5031, 2543]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0399,25.4,25.4,0.0001,0.0006,0.317134,dimension_line,1269.0,80,80,"[4932, 2444, 5012, 2524]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0400,45.4,43.4,0.0002,0.002,0.317134,dimension_line,2304.0,143,137,"[5052, 2444, 5195, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0401,46.0,43.4,0.0002,0.002,0.317134,dimension_line,2298.0,145,137,"[5069, 2444, 5214, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0402,46.0,43.8,0.0002,0.002,0.317134,dimension_line,2321.0,145,138,"[5108, 2444, 5253, 2582]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0403,42.8,41.9,0.0002,0.0018,0.317134,dimension_line,2172.5,135,132,"[5127, 2449, 5262, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0404,38.1,40.9,0.0002,0.0016,0.317134,dimension_line,2057.0,120,129,"[4932, 2453, 5052, 2582]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0405,40.3,40.3,0.0002,0.0016,0.317134,dimension_line,2067.5,127,127,"[4683, 2454, 4810, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0406,37.7,38.7,0.0002,0.0015,0.317134,dimension_line,1981.5,119,122,"[4811, 2459, 4930, 2581]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0407,25.1,27.9,0.0001,0.0007,0.317134,dimension_line,1371.5,79,88,"[5053, 2459, 5132, 2547]",ИЛ ТИТ © Натуральный камень 30 мм
Натуральный камень,1,p001-z0408,25.1,27.6,0.0001,0.0007,0.317134,dimension_line,1310.5,79,87,"[4811, 2460, 4890, 2547]",ИЛ ТИТ © Натуральный камень 30 мм
