# OCR debug output
# pages: 1

=== PAGE 1 ===
# words: 524
W	План-схема	6335.00	77.00	6467.00	101.00	0.8500	tesseract
W	Эслобные	7135.00	99.00	7240.00	122.00	0.5500	tesseract
W	обозначения	7250.00	99.00	7390.00	122.00	0.9400	tesseract
W	M1500	6368.00	114.00	6435.00	137.00	0.6800	tesseract
W	ВРАЗРАБОТКЕ	1891.00	116.00	2058.00	140.00	0.9200	tesseract
W	В	879.00	119.00	891.00	142.00	0.9300	tesseract
W	РАЗРАБОТКЕ	901.00	119.00	1047.00	142.00	0.9300	tesseract
W	Обозначение	6932.00	142.00	7073.00	165.00	0.9600	tesseract
W	Ноуменобание	7291.00	142.00	7451.00	165.00	0.4600	tesseract
W	((ФБ)	7484.00	183.00	7542.00	210.00	0.7300	tesseract
W	Панель	7129.00	185.00	7205.00	208.00	0.6300	tesseract
W	стеклофибробетона	7247.00	185.00	7473.00	213.00	0.8000	tesseract
W	VW	6340.00	191.00	6402.00	223.00	0.6600	tesseract
W	из	7215.00	191.00	7236.00	208.00	0.8600	tesseract
W	|	940.00	200.00	946.00	242.00	0.7500	tesseract
W	|	2965.00	200.00	2970.00	243.00	0.8000	tesseract
W	|	3971.00	200.00	3976.00	243.00	0.7400	tesseract
W	5	2933.00	203.00	2947.00	239.00	0.9500	tesseract
W	2	2977.00	203.00	2991.00	239.00	0.8700	tesseract
W	1	3006.00	203.00	3023.00	239.00	0.5200	tesseract
W	6	3939.00	203.00	3953.00	239.00	0.8300	tesseract
W	2	3983.00	203.00	3997.00	239.00	0.9200	tesseract
W	4	4012.00	203.00	4029.00	239.00	0.6700	tesseract
W	1	4942.00	203.00	4956.00	239.00	0.7600	tesseract
W	2	4987.00	203.00	5001.00	239.00	0.9200	tesseract
W	В	5016.00	203.00	5032.00	239.00	0.2400	tesseract
W	10	1697.00	204.00	1719.00	231.00	0.9400	tesseract
W	>)	6122.00	216.00	6146.00	264.00	0.4500	tesseract
W	‘or	6074.00	220.00	6144.00	255.00	0.4200	tesseract
W	RAL	7129.00	221.00	7168.00	244.00	0.9500	tesseract
W	9003	7179.00	221.00	7228.00	244.00	0.9500	tesseract
W	Г.	2916.00	227.00	3009.00	299.00	0.3400	tesseract
W	|	3921.00	227.00	4014.00	289.00	0.4600	tesseract
W	5	6085.00	242.00	6097.00	270.00	0.7200	tesseract
W	63)	6101.00	242.00	6143.00	270.00	0.7100	tesseract
W	5.10	1686.00	246.00	1730.00	274.00	0.9200	tesseract
W	4,990	2011.00	262.00	2080.00	294.00	0.8500	tesseract
